clip_id,file,exercise,view,label,error_type,subject_id,fps,num_frames,notes
squat_0051,squat/clip_0051.npy,squat,threequarter,bad,knee_valgus,subject_03,30,27,synthetic
squat_0052,squat/clip_0052.npy,squat,threequarter,good,none,subject_04,30,35,synthetic
squat_0053,squat/clip_0053.npy,squat,threequarter,bad,insufficient_depth,subject_05,30,34,synthetic
squat_0054,squat/clip_0054.npy,squat,threequarter,good,none,subject_06,30,24,synthetic
squat_0055,squat/clip_0055.npy,squat,threequarter,good,none,subject_07,30,41,synthetic
squat_0056,squat/clip_0056.npy,squat,threequarter,bad,knee_valgus,subject_08,30,21,synthetic
squat_0057,squat/clip_0057.npy,squat,threequarter,good,none,subject_01,30,57,synthetic
squat_0058,squat/clip_0058.npy,squat,threequarter,bad,insufficient_depth,subject_02,30,55,synthetic
squat_0059,squat/clip_0059.npy,squat,threequarter,bad,back_rounding,subject_03,30,34,synthetic
squat_0060,squat/clip_0060.npy,squat,threequarter,bad,back_rounding,subject_04,30,57,synthetic
squat_0061,squat/clip_0061.npy,squat,threequarter,good,none,subject_05,30,34,synthetic
squat_0062,squat/clip_0062.npy,squat,threequarter,good,none,subject_06,30,20,synthetic
squat_0063,squat/clip_0063.npy,squat,threequarter,bad,knee_valgus,subject_07,30,24,synthetic
squat_0064,squat/clip_0064.npy,squat,threequarter,good,none,subject_08,30,60,synthetic
squat_0065,squat/clip_0065.npy,squat,threequarter,bad,knee_valgus,subject_01,30,23,synthetic
squat_0066,squat/clip_0066.npy,squat,threequarter,good,none,subject_02,30,34,synthetic
squat_0067,squat/clip_0067.npy,squat,threequarter,good,none,subject_03,30,24,synthetic
squat_0068,squat/clip_0068.npy,squat,threequarter,bad,back_rounding,subject_04,30,22,synthetic
squat_0069,squat/clip_0069.npy,squat,threequarter,good,none,subject_05,30,41,synthetic
squat_0070,squat/clip_0070.npy,squat,threequarter,bad,knee_valgus,subject_06,30,24,synthetic
squat_0071,squat/clip_0071.npy,squat,threequarter,bad,back_rounding,subject_07,30,52,synthetic
squat_0072,squat/clip_0072.npy,squat,threequarter,good,none,subject_08,30,35,synthetic
squat_0073,squat/clip_0073.npy,squat,threequarter,bad,back_rounding,subject_01,30,37,synthetic
squat_0074,squat/clip_0074.npy,squat,threequarter,bad,insufficient_depth,subject_02,30,51,synthetic
squat_0075,squat/clip_0075.npy,squat,threequarter,bad,knee_valgus,subject_03,30,33,synthetic
squat_0076,squat/clip_0076.npy,squat,threequarter,bad,insufficient_depth,subject_04,30,54,synthetic
squat_0077,squat/clip_0077.npy,squat,threequarter,bad,back_rounding,subject_05,30,28,synthetic
squat_0078,squat/clip_0078.npy,squat,threequarter,bad,knee_valgus,subject_06,30,56,synthetic
squat_0079,squat/clip_0079.npy,squat,threequarter,good,none,subject_07,30,56,synthetic
squat_0080,squat/clip_0080.npy,squat,threequarter,bad,insufficient_depth,subject_08,30,50,synthetic
squat_0081,squat/clip_0081.npy,squat,threequarter,good,none,subject_01,30,35,synthetic
squat_0082,squat/clip_0082.npy,squat,threequarter,bad,insufficient_depth,subject_02,30,50,synthetic
squat_0083,squat/clip_0083.npy,squat,threequarter,good,none,subject_03,30,46,synthetic
squat_0084,squat/clip_0084.npy,squat,threequarter,bad,knee_valgus,subject_04,30,32,synthetic
squat_0085,squat/clip_0085.npy,squat,threequarter,good,none,subject_05,30,26,synthetic
squat_0086,squat/clip_0086.npy,squat,threequarter,bad,insufficient_depth,subject_06,30,26,synthetic
squat_0087,squat/clip_0087.npy,squat,threequarter,bad,insufficient_depth,subject_07,30,47,synthetic
squat_0088,squat/clip_0088.npy,squat,threequarter,good,none,subject_08,30,42,synthetic
squat_0089,squat/clip_0089.npy,squat,threequarter,good,none,subject_01,30,47,synthetic
squat_0090,squat/clip_0090.npy,squat,threequarter,bad,insufficient_depth,subject_02,30,46,synthetic
squat_0091,squat/clip_0091.npy,squat,threequarter,bad,knee_valgus,subject_03,30,49,synthetic
squat_0092,squat/clip_0092.npy,squat,threequarter,bad,insufficient_depth,subject_04,30,23,synthetic
squat_0093,squat/clip_0093.npy,squat,threequarter,bad,back_rounding,subject_05,30,26,synthetic
squat_0094,squat/clip_0094.npy,squat,threequarter,bad,insufficient_depth,subject_06,30,23,synthetic
squat_0095,squat/clip_0095.npy,squat,threequarter,bad,insufficient_depth,subject_07,30,45,synthetic
squat_0096,squat/clip_0096.npy,squat,threequarter,bad,knee_valgus,subject_08,30,41,synthetic
squat_0097,squat/clip_0097.npy,squat,threequarter,bad,insufficient_depth,subject_01,30,26,synthetic
squat_0098,squat/clip_0098.npy,squat,threequarter,bad,insufficient_depth,subject_02,30,35,synthetic
squat_0099,squat/clip_0099.npy,squat,threequarter,bad,knee_valgus,subject_03,30,32,synthetic
squat_0100,squat/clip_0100.npy,squat,threequarter,good,none,subject_04,30,32,synthetic
squat_0101,squat/clip_0101.npy,squat,threequarter,bad,knee_valgus,subject_05,30,54,synthetic
squat_0102,squat/clip_0102.npy,squat,threequarter,bad,insufficient_depth,subject_06,30,48,synthetic
squat_0103,squat/clip_0103.npy,squat,threequarter,bad,back_rounding,subject_07,30,28,synthetic
squat_0104,squat/clip_0104.npy,squat,threequarter,bad,knee_valgus,subject_08,30,47,synthetic
squat_0105,squat/clip_0105.npy,squat,threequarter,good,none,subject_01,30,31,synthetic
squat_0106,squat/clip_0106.npy,squat,threequarter,good,none,subject_02,30,37,synthetic
squat_0107,squat/clip_0107.npy,squat,threequarter,good,none,subject_03,30,49,synthetic
squat_0108,squat/clip_0108.npy,squat,threequarter,good,none,subject_04,30,35,synthetic
squat_0109,squat/clip_0109.npy,squat,threequarter,bad,knee_valgus,subject_05,30,24,synthetic
squat_0110,squat/clip_0110.npy,squat,threequarter,bad,knee_valgus,subject_06,30,48,synthetic
squat_0111,squat/clip_0111.npy,squat,threequarter,good,none,subject_07,30,55,synthetic
squat_0112,squat/clip_0112.npy,squat,threequarter,bad,back_rounding,subject_08,30,26,synthetic
squat_0113,squat/clip_0113.npy,squat,threequarter,good,none,subject_01,30,23,synthetic
squat_0114,squat/clip_0114.npy,squat,threequarter,bad,insufficient_depth,subject_02,30,54,synthetic
squat_0115,squat/clip_0115.npy,squat,threequarter,good,none,subject_03,30,20,synthetic
squat_0116,squat/clip_0116.npy,squat,threequarter,good,none,subject_04,30,25,synthetic
squat_0117,squat/clip_0117.npy,squat,threequarter,good,none,subject_05,30,35,synthetic
squat_0118,squat/clip_0118.npy,squat,threequarter,bad,knee_valgus,subject_06,30,30,synthetic
squat_0119,squat/clip_0119.npy,squat,threequarter,good,none,subject_07,30,46,synthetic
squat_0120,squat/clip_0120.npy,squat,threequarter,bad,knee_valgus,subject_08,30,51,synthetic
squat_0121,squat/clip_0121.npy,squat,threequarter,good,none,subject_01,30,50,synthetic
squat_0122,squat/clip_0122.npy,squat,threequarter,good,none,subject_02,30,33,synthetic
squat_0123,squat/clip_0123.npy,squat,threequarter,good,none,subject_03,30,45,synthetic
squat_0124,squat/clip_0124.npy,squat,threequarter,bad,back_rounding,subject_04,30,23,synthetic
squat_0125,squat/clip_0125.npy,squat,threequarter,good,none,subject_05,30,30,synthetic
squat_0126,squat/clip_0126.npy,squat,threequarter,good,none,subject_06,30,44,synthetic
squat_0127,squat/clip_0127.npy,squat,threequarter,good,none,subject_07,30,20,synthetic
squat_0128,squat/clip_0128.npy,squat,threequarter,bad,back_rounding,subject_08,30,44,synthetic
squat_0129,squat/clip_0129.npy,squat,threequarter,bad,back_rounding,subject_01,30,36,synthetic
squat_0130,squat/clip_0130.npy,squat,threequarter,bad,knee_valgus,subject_02,30,49,synthetic
squat_0131,squat/clip_0131.npy,squat,threequarter,bad,back_rounding,subject_03,30,38,synthetic
squat_0132,squat/clip_0132.npy,squat,threequarter,good,none,subject_04,30,47,synthetic
squat_0133,squat/clip_0133.npy,squat,threequarter,bad,back_rounding,subject_05,30,55,synthetic
squat_0134,squat/clip_0134.npy,squat,threequarter,bad,knee_valgus,subject_06,30,51,synthetic
squat_0135,squat/clip_0135.npy,squat,threequarter,bad,back_rounding,subject_07,30,29,synthetic
squat_0136,squat/clip_0136.npy,squat,threequarter,good,none,subject_08,30,32,synthetic
squat_0137,squat/clip_0137.npy,squat,threequarter,good,none,subject_01,30,38,synthetic
squat_0138,squat/clip_0138.npy,squat,threequarter,good,none,subject_02,30,33,synthetic
squat_0139,squat/clip_0139.npy,squat,threequarter,bad,insufficient_depth,subject_03,30,23,synthetic
squat_0140,squat/clip_0140.npy,squat,threequarter,good,none,subject_04,30,57,synthetic
squat_0141,squat/clip_0141.npy,squat,threequarter,bad,insufficient_depth,subject_05,30,54,synthetic
squat_0142,squat/clip_0142.npy,squat,threequarter,bad,back_rounding,subject_06,30,23,synthetic
squat_0143,squat/clip_0143.npy,squat,threequarter,good,none,subject_07,30,40,synthetic
squat_0144,squat/clip_0144.npy,squat,threequarter,bad,back_rounding,subject_08,30,23,synthetic
squat_0145,squat/clip_0145.npy,squat,threequarter,bad,insufficient_depth,subject_01,30,23,synthetic
squat_0146,squat/clip_0146.npy,squat,threequarter,good,none,subject_02,30,57,synthetic
squat_0147,squat/clip_0147.npy,squat,threequarter,good,none,subject_03,30,50,synthetic
squat_0148,squat/clip_0148.npy,squat,threequarter,good,none,subject_04,30,52,synthetic
squat_0149,squat/clip_0149.npy,squat,threequarter,good,none,subject_05,30,53,synthetic
squat_0150,squat/clip_0150.npy,squat,threequarter,good,none,subject_06,30,30,synthetic
squat_0151,squat/clip_0151.npy,squat,threequarter,bad,insufficient_depth,subject_07,30,23,synthetic
squat_0152,squat/clip_0152.npy,squat,threequarter,good,none,subject_08,30,52,synthetic
squat_0153,squat/clip_0153.npy,squat,threequarter,bad,back_rounding,subject_01,30,25,synthetic
squat_0154,squat/clip_0154.npy,squat,threequarter,good,none,subject_02,30,31,synthetic
squat_0155,squat/clip_0155.npy,squat,threequarter,good,none,subject_03,30,24,synthetic
squat_0156,squat/clip_0156.npy,squat,threequarter,good,none,subject_04,30,58,synthetic
squat_0157,squat/clip_0157.npy,squat,threequarter,good,none,subject_05,30,24,synthetic
squat_0158,squat/clip_0158.npy,squat,threequarter,good,none,subject_06,30,35,synthetic
squat_0159,squat/clip_0159.npy,squat,threequarter,good,none,subject_07,30,45,synthetic
squat_0160,squat/clip_0160.npy,squat,threequarter,good,none,subject_08,30,27,synthetic
curl_0001,curl/clip_0001.npy,curl,front,bad,partial_rom,subject_01,30,22,synthetic
curl_0002,curl/clip_0002.npy,curl,front,good,none,subject_02,30,26,synthetic
curl_0003,curl/clip_0003.npy,curl,front,good,none,subject_03,30,58,synthetic
curl_0004,curl/clip_0004.npy,curl,front,good,none,subject_04,30,47,synthetic
curl_0005,curl/clip_0005.npy,curl,front,good,none,subject_05,30,42,synthetic
curl_0006,curl/clip_0006.npy,curl,front,bad,elbow_flare,subject_06,30,40,synthetic
curl_0007,curl/clip_0007.npy,curl,front,bad,swing,subject_07,30,47,synthetic
curl_0008,curl/clip_0008.npy,curl,front,bad,elbow_flare,subject_08,30,58,synthetic
curl_0009,curl/clip_0009.npy,curl,front,bad,swing,subject_01,30,52,synthetic
curl_0010,curl/clip_0010.npy,curl,front,bad,partial_rom,subject_02,30,27,synthetic
curl_0011,curl/clip_0011.npy,curl,front,bad,partial_rom,subject_03,30,44,synthetic
curl_0012,curl/clip_0012.npy,curl,front,good,none,subject_04,30,56,synthetic
curl_0013,curl/clip_0013.npy,curl,front,bad,elbow_flare,subject_05,30,32,synthetic
curl_0014,curl/clip_0014.npy,curl,front,good,none,subject_06,30,36,synthetic
curl_0015,curl/clip_0015.npy,curl,front,bad,elbow_flare,subject_07,30,22,synthetic
curl_0016,curl/clip_0016.npy,curl,front,good,none,subject_08,30,47,synthetic
curl_0017,curl/clip_0017.npy,curl,front,good,none,subject_01,30,20,synthetic
curl_0018,curl/clip_0018.npy,curl,front,bad,swing,subject_02,30,53,synthetic
curl_0019,curl/clip_0019.npy,curl,front,good,none,subject_03,30,54,synthetic
curl_0020,curl/clip_0020.npy,curl,front,good,none,subject_04,30,32,synthetic
curl_0021,curl/clip_0021.npy,curl,front,bad,partial_rom,subject_05,30,43,synthetic
curl_0022,curl/clip_0022.npy,curl,front,good,none,subject_06,30,47,synthetic
curl_0023,curl/clip_0023.npy,curl,front,good,none,subject_07,30,24,synthetic
curl_0024,curl/clip_0024.npy,curl,front,good,none,subject_08,30,41,synthetic
curl_0025,curl/clip_0025.npy,curl,front,good,none,subject_01,30,59,synthetic
curl_0026,curl/clip_0026.npy,curl,front,good,none,subject_02,30,40,synthetic
curl_0027,curl/clip_0027.npy,curl,front,good,none,subject_03,30,27,synthetic
curl_0028,curl/clip_0028.npy,curl,front,bad,partial_rom,subject_04,30,39,synthetic
curl_0029,curl/clip_0029.npy,curl,front,good,none,subject_05,30,52,synthetic
curl_0030,curl/clip_0030.npy,curl,front,bad,swing,subject_06,30,39,synthetic
curl_0031,curl/clip_0031.npy,curl,front,good,none,subject_07,30,46,synthetic
curl_0032,curl/clip_0032.npy,curl,front,bad,elbow_flare,subject_08,30,40,synthetic
curl_0033,curl/clip_0033.npy,curl,front,good,none,subject_01,30,45,synthetic
curl_0034,curl/clip_0034.npy,curl,front,good,none,subject_02,30,38,synthetic
curl_0035,curl/clip_0035.npy,curl,front,good,none,subject_03,30,55,synthetic
curl_0036,curl/clip_0036.npy,curl,front,bad,elbow_flare,subject_04,30,28,synthetic
curl_0037,curl/clip_0037.npy,curl,front,good,none,subject_05,30,32,synthetic
curl_0038,curl/clip_0038.npy,curl,front,good,none,subject_06,30,46,synthetic
curl_0039,curl/clip_0039.npy,curl,front,good,none,subject_07,30,44,synthetic
curl_0040,curl/clip_0040.npy,curl,front,good,none,subject_08,30,31,synthetic
curl_0041,curl/clip_0041.npy,curl,front,good,none,subject_01,30,59,synthetic
curl_0042,curl/clip_0042.npy,curl,front,bad,partial_rom,subject_02,30,56,synthetic
curl_0043,curl/clip_0043.npy,curl,front,bad,swing,subject_03,30,39,synthetic
curl_0044,curl/clip_0044.npy,curl,front,bad,elbow_flare,subject_04,30,45,synthetic
curl_0045,curl/clip_0045.npy,curl,front,bad,elbow_flare,subject_05,30,55,synthetic
curl_0046,curl/clip_0046.npy,curl,front,good,none,subject_06,30,20,synthetic
curl_0047,curl/clip_0047.npy,curl,front,good,none,subject_07,30,39,synthetic
curl_0048,curl/clip_0048.npy,curl,front,bad,swing,subject_08,30,38,synthetic
curl_0049,curl/clip_0049.npy,curl,front,bad,partial_rom,subject_01,30,33,synthetic
curl_0050,curl/clip_0050.npy,curl,front,good,none,subject_02,30,47,synthetic
curl_0051,curl/clip_0051.npy,curl,front,bad,swing,subject_03,30,57,synthetic
curl_0052,curl/clip_0052.npy,curl,front,bad,elbow_flare,subject_04,30,58,synthetic
curl_0053,curl/clip_0053.npy,curl,front,good,none,subject_05,30,40,synthetic
curl_0054,curl/clip_0054.npy,curl,front,bad,elbow_flare,subject_06,30,49,synthetic
curl_0055,curl/clip_0055.npy,curl,front,bad,partial_rom,subject_07,30,48,synthetic
curl_0056,curl/clip_0056.npy,curl,front,good,none,subject_08,30,48,synthetic
curl_0057,curl/clip_0057.npy,curl,front,bad,elbow_flare,subject_01,30,33,synthetic
curl_0058,curl/clip_0058.npy,curl,front,good,none,subject_02,30,52,synthetic
curl_0059,curl/clip_0059.npy,curl,front,good,none,subject_03,30,50,synthetic
curl_0060,curl/clip_0060.npy,curl,front,good,none,subject_04,30,30,synthetic
curl_0061,curl/clip_0061.npy,curl,front,good,none,subject_05,30,25,synthetic
curl_0062,curl/clip_0062.npy,curl,front,good,none,subject_06,30,38,synthetic
curl_0063,curl/clip_0063.npy,curl,front,bad,partial_rom,subject_07,30,52,synthetic
curl_0064,curl/clip_0064.npy,curl,front,bad,swing,subject_08,30,60,synthetic
curl_0065,curl/clip_0065.npy,curl,front,good,none,subject_01,30,59,synthetic
curl_0066,curl/clip_0066.npy,curl,front,good,none,subject_02,30,41,synthetic
curl_0067,curl/clip_0067.npy,curl,front,bad,elbow_flare,subject_03,30,25,synthetic
curl_0068,curl/clip_0068.npy,curl,front,bad,partial_rom,subject_04,30,35,synthetic
curl_0069,curl/clip_0069.npy,curl,front,good,none,subject_05,30,39,synthetic
curl_0070,curl/clip_0070.npy,curl,front,bad,elbow_flare,subject_06,30,34,synthetic
curl_0071,curl/clip_0071.npy,curl,front,good,none,subject_07,30,32,synthetic
curl_0072,curl/clip_0072.npy,curl,front,bad,swing,subject_08,30,29,synthetic
curl_0073,curl/clip_0073.npy,curl,front,bad,partial_rom,subject_01,30,21,synthetic
curl_0074,curl/clip_0074.npy,curl,front,good,none,subject_02,30,22,synthetic
curl_0075,curl/clip_0075.npy,curl,front,bad,partial_rom,subject_03,30,35,synthetic
curl_0076,curl/clip_0076.npy,curl,front,bad,swing,subject_04,30,50,synthetic
curl_0077,curl/clip_0077.npy,curl,front,bad,partial_rom,subject_05,30,59,synthetic
curl_0078,curl/clip_0078.npy,curl,front,bad,partial_rom,subject_06,30,24,synthetic
curl_0079,curl/clip_0079.npy,curl,front,bad,swing,subject_07,30,49,synthetic
curl_0080,curl/clip_0080.npy,curl,front,good,none,subject_08,30,46,synthetic
curl_0081,curl/clip_0081.npy,curl,front,good,none,subject_01,30,60,synthetic
curl_0082,curl/clip_0082.npy,curl,front,good,none,subject_02,30,56,synthetic
curl_0083,curl/clip_0083.npy,curl,front,good,none,subject_03,30,32,synthetic
curl_0084,curl/clip_0084.npy,curl,front,good,none,subject_04,30,44,synthetic
curl_0085,curl/clip_0085.npy,curl,front,bad,elbow_flare,subject_05,30,51,synthetic
curl_0086,curl/clip_0086.npy,curl,front,bad,swing,subject_06,30,45,synthetic
curl_0087,curl/clip_0087.npy,curl,front,good,none,subject_07,30,35,synthetic
curl_0088,curl/clip_0088.npy,curl,front,good,none,subject_08,30,29,synthetic
curl_0089,curl/clip_0089.npy,curl,front,good,none,subject_01,30,20,synthetic
curl_0090,curl/clip_0090.npy,curl,front,bad,partial_rom,subject_02,30,26,synthetic
curl_0091,curl/clip_0091.npy,curl,front,good,none,subject_03,30,47,synthetic
curl_0092,curl/clip_0092.npy,curl,front,bad,partial_rom,subject_04,30,34,synthetic
curl_0093,curl/clip_0093.npy,curl,front,bad,swing,subject_05,30,31,synthetic
curl_0094,curl/clip_0094.npy,curl,front,bad,swing,subject_06,30,53,synthetic
curl_0095,curl/clip_0095.npy,curl,front,bad,swing,subject_07,30,49,synthetic
curl_0096,curl/clip_0096.npy,curl,front,good,none,subject_08,30,23,synthetic
curl_0097,curl/clip_0097.npy,curl,front,bad,swing,subject_01,30,55,synthetic
curl_0098,curl/clip_0098.npy,curl,front,good,none,subject_02,30,35,synthetic
curl_0099,curl/clip_0099.npy,curl,front,good,none,subject_03,30,27,synthetic
curl_0100,curl/clip_0100.npy,curl,front,bad,partial_rom,subject_04,30,49,synthetic
curl_0101,curl/clip_0101.npy,curl,front,good,none,subject_05,30,28,synthetic
curl_0102,curl/clip_0102.npy,curl,front,good,none,subject_06,30,49,synthetic
curl_0103,curl/clip_0103.npy,curl,front,bad,partial_rom,subject_07,30,53,synthetic
curl_0104,curl/clip_0104.npy,curl,front,bad,swing,subject_08,30,55,synthetic
curl_0105,curl/clip_0105.npy,curl,front,bad,partial_rom,subject_01,30,58,synthetic
curl_0106,curl/clip_0106.npy,curl,front,good,none,subject_02,30,40,synthetic
curl_0107,curl/clip_0107.npy,curl,front,bad,partial_rom,subject_03,30,48,synthetic
curl_0108,curl/clip_0108.npy,curl,front,bad,partial_rom,subject_04,30,59,synthetic
curl_0109,curl/clip_0109.npy,curl,front,good,none,subject_05,30,52,synthetic
curl_0110,curl/clip_0110.npy,curl,front,bad,swing,subject_06,30,47,synthetic
curl_0111,curl/clip_0111.npy,curl,front,bad,partial_rom,subject_07,30,55,synthetic
curl_0112,curl/clip_0112.npy,curl,front,good,none,subject_08,30,48,synthetic
curl_0113,curl/clip_0113.npy,curl,front,bad,swing,subject_01,30,30,synthetic
curl_0114,curl/clip_0114.npy,curl,front,bad,swing,subject_02,30,50,synthetic
curl_0115,curl/clip_0115.npy,curl,front,good,none,subject_03,30,48,synthetic
curl_0116,curl/clip_0116.npy,curl,front,bad,partial_rom,subject_04,30,36,synthetic
curl_0117,curl/clip_0117.npy,curl,front,bad,swing,subject_05,30,35,synthetic
curl_0118,curl/clip_0118.npy,curl,front,bad,swing,subject_06,30,60,synthetic
curl_0119,curl/clip_0119.npy,curl,front,good,none,subject_07,30,37,synthetic
curl_0120,curl/clip_0120.npy,curl,front,good,none,subject_08,30,53,synthetic
curl_0121,curl/clip_0121.npy,curl,front,bad,swing,subject_01,30,51,synthetic
curl_0122,curl/clip_0122.npy,curl,front,good,none,subject_02,30,60,synthetic
curl_0123,curl/clip_0123.npy,curl,front,bad,swing,subject_03,30,35,synthetic
curl_0124,curl/clip_0124.npy,curl,front,good,none,subject_04,30,37,synthetic
curl_0125,curl/clip_0125.npy,curl,front,bad,elbow_flare,subject_05,30,48,synthetic
curl_0126,curl/clip_0126.npy,curl,front,good,none,subject_06,30,24,synthetic
curl_0127,curl/clip_0127.npy,curl,front,good,none,subject_07,30,38,synthetic
curl_0128,curl/clip_0128.npy,curl,front,good,none,subject_08,30,35,synthetic
curl_0129,curl/clip_0129.npy,curl,front,good,none,subject_01,30,37,synthetic
curl_0130,curl/clip_0130.npy,curl,front,bad,swing,subject_02,30,41,synthetic
curl_0131,curl/clip_0131.npy,curl,front,bad,elbow_flare,subject_03,30,40,synthetic
curl_0132,curl/clip_0132.npy,curl,front,bad,elbow_flare,subject_04,30,54,synthetic
curl_0133,curl/clip_0133.npy,curl,front,bad,partial_rom,subject_05,30,25,synthetic
curl_0134,curl/clip_0134.npy,curl,front,good,none,subject_06,30,28,synthetic
curl_0135,curl/clip_0135.npy,curl,front,bad,elbow_flare,subject_07,30,29,synthetic
curl_0136,curl/clip_0136.npy,curl,front,good,none,subject_08,30,34,synthetic
curl_0137,curl/clip_0137.npy,curl,front,bad,elbow_flare,subject_01,30,44,synthetic
curl_0138,curl/clip_0138.npy,curl,front,good,none,subject_02,30,29,synthetic
curl_0139,curl/clip_0139.npy,curl,front,good,none,subject_03,30,33,synthetic
curl_0140,curl/clip_0140.npy,curl,front,bad,elbow_flare,subject_04,30,24,synthetic
curl_0141,curl/clip_0141.npy,curl,front,bad,partial_rom,subject_05,30,46,synthetic
curl_0142,curl/clip_0142.npy,curl,front,good,none,subject_06,30,46,synthetic
curl_0143,curl/clip_0143.npy,curl,front,good,none,subject_07,30,41,synthetic
curl_0144,curl/clip_0144.npy,curl,front,bad,swing,subject_08,30,54,synthetic
curl_0145,curl/clip_0145.npy,curl,front,good,none,subject_01,30,49,synthetic
curl_0146,curl/clip_0146.npy,curl,front,good,none,subject_02,30,46,synthetic
curl_0147,curl/clip_0147.npy,curl,front,bad,elbow_flare,subject_03,30,23,synthetic
curl_0148,curl/clip_0148.npy,curl,front,good,none,subject_04,30,33,synthetic
